#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Mobile,Desktop,Growth (3mo),Growth (6mo),Growth (12mo),Global Growth (3mo),Global Growth (6mo),Global Growth (12mo),Growth forecast (12mo),Intents,Languages,SV trend (09-2024 - 08-2026),SV Forecasting trend (09-2026 - 09-2027),Category
111,why does my cat paw at his water fountain,ca,,,,,,,,10,,,2021-08-11,,,,,,,,,,,,"2, 0, 1, 2, 4, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 2, 1, 0",2,
112,how to get cat to stop splashing water fountain,ca,,,,,,,,30,,,2024-04-07,,,,,,,,,,,,"2, 0, 0, 4, 2, 0, 2, 1, 1, 0, 2, 2, 3, 4, 2, 2, 6, 1, 5, 2, 2, 1, 3, 2",3,
113,how to clean algae from cat water fountain,ca,,,,,,,,,,,2023-05-06,,,,,,,,,,,,"1, 1, 1, 2, 1, 4, 6, 2, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0",1,
114,how to assemble cat water fountain,ca,,,,,,,,30,,,2021-08-30,,,,,,,,,,,,"1, 1, 1, 2, 2, 2, 1, 1, 2, 4, 2, 5, 3, 5, 3, 1, 2, 3, 2, 2, 6, 2, 1, 0",2,
115,how to fix a cat water fountain,ca,,,,,,,,,,,2022-09-18,,,,,,,,,,,,"0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
116,how often to change water in a cat fountain,ca,,,,,,,,,,,2024-09-10,,,,,,,,,,,,"4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
117,how to clean filter for cat water fountain,ca,,,,,,,,10,,,2022-11-06,,,,,,,,,,,,"3, 1, 2, 1, 1, 1, 1, 0, 1, 0, 0, 2, 3, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0, 1",2,
118,why isn't my cat water fountain working,ca,,,,,,,,20,,,2023-06-09,,,,,,,,,,,,"2, 1, 2, 5, 4, 5, 1, 0, 4, 1, 1, 1, 1, 0, 3, 8, 4, 1, 5, 1, 0, 0, 0, 4",2,
119,why are there bubbles in my cat water fountain,ca,,,,,,,,,,,2021-07-14,,,,,,,,,,,,"0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
120,cat water fountain how often change filter,ca,,,,,,,,20,,,2021-11-05,,,,,,,,,,,,"4, 4, 6, 0, 5, 1, 1, 3, 2, 0, 1, 1, 2, 4, 0, 5, 2, 0, 1, 4, 2, 1, 1, 6",4,
121,cat water fountain how often to clean,ca,,,,,,,,,,,2026-01-22,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 1, 0, 0, 0, 0",1,
122,how often should you replace cat water fountain,ca,,,,,,,,80,,,2026-03-02,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 3, 1, 0",2,
123,how to encourage cat to use water fountain,ca,,,,,,,,10,,,2024-08-02,,,,,,,,,,,,"0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 1, 1, 1, 1, 0, 1, 2, 0, 0, 0, 0, 1, 2",2,
124,how often change water in cat fountain,ca,,,,,,,,40,,,2016-11-23,,,,,,,,,,,,"1, 2, 4, 3, 2, 6, 2, 2, 5, 2, 7, 1, 6, 3, 1, 1, 2, 2, 5, 2, 5, 7, 6, 5",7,
125,how often should i clean a cat water fountain,ca,,,,,,,,,,,2025-02-09,,,,,,,,,,,,"0, 0, 0, 0, 0, 2, 0, 3, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0",1,
126,how to turn on cat water fountain,ca,,,,,,,,10,,,2026-06-25,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0",2,
127,how often to change cat fountain water,ca,,,,,,,,20,,,2020-09-19,,,,,,,,,,,,"6, 1, 7, 2, 3, 0, 0, 5, 1, 2, 9, 2, 4, 4, 3, 1, 5, 2, 6, 3, 2, 6, 1, 7",5,
128,which cat water fountain is easiest to clean,ca,,,,,,,,10,,,2025-08-23,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 5, 1",3,
129,how often to clean a cat water fountain,ca,,,,,,,,20,,,2025-06-17,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 2, 1, 4, 2, 3, 2, 4, 2, 4, 4, 1",4,
130,how to choose cat water fountain,ca,,,,,,,,,,,2025-09-07,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
131,how to clean cat water fountain filter,ca,,,,,,,,40,,,2021-06-11,,,,,,,,,,,,"5, 3, 8, 5, 2, 6, 14, 9, 5, 3, 5, 7, 6, 3, 0, 4, 2, 0, 1, 0, 2, 3, 4, 0",3,
132,cat water fountain how does it work,ca,,,,,,,,,,,2026-08-04,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5",3,
133,how to get your cat to drink from water fountain,ca,,,,,,,,,,,2022-07-11,,,,,,,,,,,,"0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
134,how does a cat water fountain work,ca,,,,,,,,40,,,2020-06-30,,,,,,,,,,,,"0, 4, 4, 2, 3, 1, 1, 4, 7, 3, 6, 2, 2, 4, 1, 2, 0, 6, 4, 3, 3, 5, 8, 3",5,
135,how to make cat drink from water fountain,ca,,,,,,,,20,,,2022-05-14,,,,,,,,,,,,"2, 1, 1, 0, 4, 0, 0, 1, 0, 0, 3, 4, 1, 3, 2, 1, 3, 0, 0, 0, 0, 1, 0, 1",2,
136,how often should a cat water fountain be cleaned,ca,,,,,,,,10,,,2025-04-10,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 3, 0, 1, 3, 0, 0, 2, 0, 3, 3, 3, 4",4,
137,how to clean water pump for cat fountain,ca,,,,,,,,,,,2025-01-01,,,,,,,,,,,,"0, 0, 0, 0, 1, 2, 3, 9, 4, 2, 5, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
138,what to look for cat water fountain,ca,,,,,,,,10,,,2025-10-30,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0",1,
139,how to prevent slime in cat water fountain,ca,,,,,,,,,,,2021-05-01,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
140,what is the quietest cat water fountain,ca,,,,,,,,,,,2021-03-01,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
141,how often to change filter on cat water fountain,ca,,,,,,,,30,,,2024-06-27,,,,,,,,,,,,"3, 3, 0, 2, 1, 3, 2, 3, 1, 2, 0, 2, 3, 3, 2, 2, 7, 5, 7, 6, 3, 2, 3, 0",3,
142,how to introduce cat to water fountain,ca,,,,,,,,10,,,2018-04-29,,,,,,,,,,,,"2, 2, 2, 2, 3, 0, 3, 3, 1, 4, 5, 2, 2, 1, 0, 2, 0, 1, 1, 3, 4, 0, 0, 2",2,
143,how to train cat to use water fountain,ca,,,,,,,,10,,,2020-07-09,,,,,,,,,,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
144,how to make cat water fountain,ca,,,,,,,,,,,2020-01-14,,,,,,,,,,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
145,how to clean stainless steel cat water fountain,ca,,,,,,,,30,,,2024-03-28,,,,,,,,,,,,"1, 0, 1, 0, 6, 1, 1, 3, 1, 2, 2, 1, 0, 0, 4, 0, 6, 3, 6, 3, 4, 1, 1, 1",2,
146,what is a cat water fountain,ca,,,,,,,,20,,,2021-05-19,,,,,,,,,,,,"2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 4, 1",4,
147,how to put together cat water fountain,ca,,,,,,,,10,,,2022-04-23,,,,,,,,,,,,"3, 0, 1, 2, 1, 0, 0, 0, 1, 0, 2, 0, 2, 3, 0, 2, 1, 1, 0, 0, 0, 0, 1, 0",2,
148,how to add water to cat water fountain,ca,,,,,,,,,,,2024-07-20,,,,,,,,,,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
149,how to stop cat from spilling water fountain,ca,,,,,,,,,,,2022-02-23,,,,,,,,,,,,"2, 1, 3, 2, 1, 1, 2, 0, 4, 2, 1, 1, 2, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0",1,
150,when to change cat water fountain filter,ca,,,,,,,,10,,,2026-03-19,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 3, 3",5,
151,how to get my cat to drink from water fountain,ca,,,,,,,,30,,,2018-01-03,,,,,,,,,,,,"10, 11, 1, 6, 0, 0, 1, 3, 0, 1, 4, 3, 3, 1, 1, 3, 5, 2, 2, 2, 4, 6, 2, 2",4,
152,how often should you clean cat water fountain,ca,,,,,,,,40,,,2020-04-30,,,,,,,,,,,,"4, 1, 2, 4, 5, 10, 2, 3, 3, 4, 3, 7, 4, 5, 3, 4, 8, 1, 3, 3, 1, 8, 7, 6",6,
153,how to keep cat from knocking over water fountain,ca,,,,,,,,,,,2022-04-13,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
154,how to stop cat from knocking over water fountain,ca,,,,,,,,30,,,2023-02-17,,,,,,,,,,,,"1, 5, 0, 5, 2, 7, 5, 0, 1, 3, 2, 1, 1, 0, 0, 2, 1, 3, 0, 1, 2, 0, 0, 3",2,
155,how long does a cat water fountain last,ca,,,,,,,,10,,,2026-04-12,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3",2,
156,cat water fountain how to properly clean,ca,,,,,,,,,,,2026-08-28,,,,,,,,,,"Informational,Non-branded,Non-local",English,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4",3,Cats; Expert content
157,how to get cat to use water fountain reddit,ca,,,,,,,,,,,2023-01-28,,,,,,,,,,,,"0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0",1,
158,how to get my cat to use the water fountain,ca,,,,,,,,,,,2024-02-17,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 2, 0, 2, 0, 0, 3, 3, 1, 0, 0, 0, 0, 0",1,
159,how to clean mold from cat water fountain,ca,,,,,,,,,,,2025-08-21,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3",2,
160,why does my cat water fountain get slimy,ca,,,,,,,,20,,,2023-10-04,,,,,,,,,,,,"1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 1, 0, 3, 0, 1, 1, 0, 0, 0, 3, 0",3,
161,how to reduce the noise of a cat water fountain,ca,,,,,,,,,,,2019-10-12,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
162,how to get cat to use new water fountain,ca,,,,,,,,10,,,2024-08-17,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1, 0, 1, 1",2,
163,how to choose a cat water fountain,ca,,,,,,,,10,,,2025-03-27,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0, 2, 2, 1, 0, 1, 0, 2, 0, 2, 3",3,
164,how to refill a cat water fountain,ca,,,,,,,,,,,2022-08-17,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2",2,
165,how to change filter on cat water fountain,ca,,,,,,,,,,,2025-04-18,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
166,how to properly clean cat water fountain,ca,,,,,,,,10,,,2024-02-25,,,,,,,,,,,,"0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 4, 2, 3",4,
167,cat water fountain how to refill,ca,,,,,,,,10,,,2025-07-05,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0",2,
168,how often to change filter for cat water fountain,ca,,,,,,,,,,,2026-02-03,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 0",1,
169,how often to clean water fountain cat,ca,,,,,,,,10,,,2026-02-04,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 2, 2, 2",3,
170,how to get a cat to drink from water fountain,ca,,,,,,,,10,,,2023-03-17,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0",1,
171,how to change cat water fountain filter,ca,,,,,,,,10,,,2024-11-01,,,,,,,,,,,,"0, 0, 3, 1, 1, 3, 0, 0, 2, 1, 2, 2, 0, 1, 0, 1, 3, 1, 1, 0, 4, 0, 0, 1",2,
172,why is my cat water fountain pump not working,ca,,,,,,,,,,,2023-12-10,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0",1,
173,how to use cat water fountain,ca,,,,,,,,20,,,2020-09-08,,,,,,,,,,,,"2, 0, 1, 1, 1, 0, 0, 0, 3, 0, 0, 3, 1, 1, 0, 2, 3, 0, 0, 1, 1, 2, 4, 4",4,
174,why cat water fountain,ca,,,,,,,,,,,2020-07-27,,,,,,,,,,,,"1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
175,how often should you change cat fountain water,ca,,,,,,,,,,,2020-08-25,,,,,,,,,,,,"1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1",2,
176,how often change cat fountain water,ca,,,,,,,,10,,,2023-08-05,,,,,,,,,,,,"1, 3, 2, 0, 3, 1, 0, 3, 4, 3, 3, 4, 3, 2, 3, 2, 2, 2, 1, 0, 0, 0, 3, 1",2,
177,how to make your cat drink from water fountain,ca,,,,,,,,,,,2026-03-03,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0",1,
178,how to keep cat water fountain clean,ca,,,,,,,,30,,,2020-09-12,,,,,,,,,,,,"1, 1, 3, 2, 1, 1, 0, 6, 2, 1, 3, 0, 1, 1, 0, 1, 1, 0, 2, 1, 3, 3, 3, 2",3,
179,how often to change cat water fountain water,ca,,,,,,,,10,,,2024-09-01,,,,,,,,,,,,"1, 0, 0, 0, 0, 2, 3, 3, 3, 3, 1, 3, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1",2,
180,how to make your own cat water fountain,ca,,,,,,,,,,,2021-03-11,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
181,how often should you change cat water fountain,ca,,,,,,,,10,,,2023-04-23,,,,,,,,,,,,"3, 7, 2, 2, 0, 2, 3, 2, 3, 5, 2, 4, 6, 4, 0, 0, 0, 0, 4, 0, 0, 2, 1, 2",3,
182,how to prevent mold in cat water fountain,ca,,,,,,,,10,,,2023-06-28,,,,,,,,,,,,"0, 0, 3, 1, 1, 2, 3, 1, 1, 0, 0, 1, 4, 1, 2, 3, 1, 0, 1, 0, 1, 0, 0, 2",2,
183,how to get cat to drink water from fountain,ca,,,,,,,,40,,,2023-09-04,,,,,,,,,,,,"4, 5, 6, 4, 2, 2, 10, 7, 0, 3, 4, 3, 0, 0, 1, 1, 2, 4, 1, 1, 1, 1, 3, 0",2,
184,how to keep cat water fountain from getting slimy,ca,,,,,,,,20,,,2025-08-10,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 0, 2, 2, 3, 1, 1",3,
185,why is my cat water fountain making noise,ca,,,,,,,,10,,,2023-02-06,,,,,,,,,,,,"0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 0, 0, 2, 0",2,
186,where to buy cat water fountain,ca,,,,,,,,10,,,2022-09-10,,,,,,,,,,,,"0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 0",2,
187,why is my cat knocking over his water fountain,ca,,,,,,,,10,,,2025-12-12,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0",1,
188,how often to wash cat water fountain,ca,,,,,,,,20,,,2024-09-15,,,,,,,,,,,,"2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 1, 2, 2, 2, 4, 3, 4, 3",4,
189,how much does a cat water fountain cost to run,ca,,,,,,,,,,,2026-05-29,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0",2,
190,where to put cat water fountain,ca,,,,,,,,40,,,2021-08-29,,,,,,,,,,,,"11, 2, 5, 1, 9, 3, 6, 4, 4, 7, 4, 2, 9, 1, 2, 1, 2, 3, 4, 2, 4, 4, 4, 4",4,
191,why won't my cat drink from a water fountain,ca,,,,,,,,,,,2021-12-16,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",1,
192,how to get cat to drink from new water fountain,ca,,,,,,,,40,,,2024-06-08,,,,,,,,,,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 6, 9, 3, 3, 4, 6, 3, 2",4,
193,how to teach cat to drink from water fountain,ca,,,,,,,,10,,,2020-11-17,,,,,,,,,,,,"1, 2, 1, 1, 2, 0, 1, 2, 1, 1, 2, 3, 3, 0, 0, 1, 1, 0, 0, 4, 1, 4, 1, 1",3,
